資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260731,1203,16,55297,240000000,100.0
20260731,1210,1,48479,6048524,0.67
20260731,1210,2,37520,75977223,8.49
20260731,1210,3,6575,46838775,5.23
20260731,1210,4,2133,25784466,2.88
20260731,1210,5,1055,18661267,2.08
20260731,1210,6,904,22073904,2.46
20260731,1210,7,437,15158671,1.69
20260731,1210,8,247,11315569,1.26
20260731,1210,9,404,28437298,3.17
20260731,1210,10,192,26251829,2.93
20260731,1210,11,90,25183929,2.81
20260731,1210,12,33,16384101,1.83
20260731,1210,13,23,16001314,1.78
20260731,1210,14,8,7119278,0.79
20260731,1210,15,72,553531074,61.86
20260731,1210,16,98172,894767222,100.0
20260731,1213,1,4986,267201,0.47
20260731,1213,2,1200,2385948,4.21
20260731,1213,3,195,1428637,2.52
20260731,1213,4,75,900674,1.59
20260731,1213,5,40,732300,1.29
20260731,1213,6,30,728589,1.28
20260731,1213,7,10,358000,0.63
20260731,1213,8,13,587100,1.03
20260731,1213,9,10,688835,1.21
20260731,1213,10,12,1511060,2.66
20260731,1213,11,3,808000,1.42
20260731,1213,12,2,845694,1.49
20260731,1213,13,0,0,0.0
20260731,1213,14,2,1745940,3.08
20260731,1213,15,8,43634649,77.06
20260731,1213,16,6586,56622627,100.0
20260731,1215,1,67753,4837955,1.64
20260731,1215,2,24824,46723055,15.84
20260731,1215,3,2693,19308866,6.55
20260731,1215,4,759,9342377,3.16
20260731,1215,5,337,5965868,2.02
20260731,1215,6,270,6741143,2.28
20260731,1215,7,123,4260377,1.44
20260731,1215,8,75,3395420,1.15
20260731,1215,9,116,7894136,2.67
20260731,1215,10,58,7888633,2.67
20260731,1215,11,25,7472453,2.53
20260731,1215,12,7,3641804,1.23
20260731,1215,13,5,3399743,1.15
20260731,1215,14,5,4528695,1.53
20260731,1215,15,18,159389573,54.06
20260731,1215,16,97068,294790098,100.0
20260731,1216,1,56728,13085977,0.23
20260731,1216,2,64419,131352363,2.31
20260731,1216,3,10286,75730253,1.33
20260731,1216,4,3277,40955017,0.72
20260731,1216,5,1861,32938615,0.57
20260731,1216,6,1580,39261012,0.69
20260731,1216,7,779,27143923,0.47
20260731,1216,8,484,22088552,0.38
20260731,1216,9,846,59624243,1.04
20260731,1216,10,406,56165361,0.98
20260731,1216,11,272,77647097,1.36
20260731,1216,12,148,73171145,1.28
20260731,1216,13,105,72729381,1.27
20260731,1216,14,66,59178276,1.04
20260731,1216,15,445,4900944206,86.25
20260731,1216,16,141702,5682015421,100.0
20260731,1217,1,108392,2943365,0.59
20260731,1217,2,23045,43434481,8.78
20260731,1217,3,3536,26270752,5.31
20260731,1217,4,1225,14424524,2.91
20260731,1217,5,618,11291565,2.28
20260731,1217,6,597,14816467,2.99
20260731,1217,7,256,9010170,1.82
20260731,1217,8,174,8017331,1.62
20260731,1217,9,303,22027524,4.45
20260731,1217,10,146,19668533,3.97
20260731,1217,11,70,19429405,3.92
20260731,1217,12,30,14390904,2.91
20260731,1217,13,14,9811854,1.98
20260731,1217,14,14,12487818,2.52
20260731,1217,15,71,266488643,53.88
20260731,1217,16,138491,494513336,100.0
20260731,1218,1,60740,2965018,0.59
20260731,1218,2,16555,34177204,6.83
20260731,1218,3,2686,21054675,4.21
20260731,1218,4,899,11544098,2.3
20260731,1218,5,537,9923339,1.98
20260731,1218,6,465,11966060,2.39
20260731,1218,7,203,7342175,1.46
20260731,1218,8,161,7563480,1.51
20260731,1218,9,262,18856867,3.77
20260731,1218,10,128,17859014,3.57
20260731,1218,11,67,18841459,3.76
20260731,1218,12,14,6962764,1.39
20260731,1218,13,15,10433761,2.08
20260731,1218,14,3,2884438,0.57
20260731,1218,15,35,317624686,63.52
20260731,1218,16,82770,499999038,100.0
20260731,1219,1,38241,1493354,0.43
20260731,1219,2,9886,20028199,5.86
20260731,1219,3,2181,14898453,4.36
20260731,1219,4,1024,11877891,3.48
20260731,1219,5,372,6524477,1.91
20260731,1219,6,480,11460014,3.35
20260731,1219,7,221,7534388,2.2
20260731,1219,8,125,5506332,1.61
20260731,1219,9,235,16699456,4.89
20260731,1219,10,112,15444877,4.52
20260731,1219,11,49,13226296,3.87
20260731,1219,12,10,4950035,1.45
20260731,1219,13,9,6162908,1.8
20260731,1219,14,7,6077827,1.78
20260731,1219,15,51,199379857,58.42
20260731,1219,16,0,-26000,0.0
20260731,1219,17,53003,341238364,100.0
20260731,1220,1,39925,1067039,0.6
20260731,1220,2,5656,11449460,6.46
20260731,1220,3,801,6431170,3.63
20260731,1220,4,229,2955097,1.66
20260731,1220,5,163,3093156,1.74
20260731,1220,6,146,3746031,2.11
20260731,1220,7,52,1831280,1.03
20260731,1220,8,37,1764893,0.99
20260731,1220,9,101,7253938,4.09
20260731,1220,10,53,7222525,4.07
20260731,1220,11,40,10533942,5.94
20260731,1220,12,8,3895920,2.2
20260731,1220,13,6,4439989,2.5
20260731,1220,14,5,4387579,2.47
20260731,1220,15,27,107005925,60.42
20260731,1220,16,47249,177077944,100.0
20260731,1225,1,40219,646495,0.26
20260731,1225,2,2375,4682028,1.93
20260731,1225,3,379,2690736,1.11
20260731,1225,4,146,1771918,0.73
20260731,1225,5,72,1281264,0.52
20260731,1225,6,61,1440310,0.59
20260731,1225,7,33,1148038,0.47
20260731,1225,8,15,679950,0.28
20260731,1225,9,34,2385066,0.98
20260731,1225,10,20,2944076,1.21
20260731,1225,11,20,5052386,2.08
20260731,1225,12,6,2769408,1.14
20260731,1225,13,2,1265801,0.52
20260731,1225,14,2,1743695,0.71
20260731,1225,15,29,211767135,87.41
20260731,1225,16,43413,242268306,100.0
20260731,1227,1,11223,2257652,0.24
20260731,1227,2,30539,66832644,7.3
20260731,1227,3,6179,47978081,5.24
20260731,1227,4,1993,25304254,2.76
20260731,1227,5,1136,20831362,2.27
20260731,1227,6,967,24455499,2.67
20260731,1227,7,456,16152634,1.76
20260731,1227,8,290,13432236,1.46
20260731,1227,9,514,36539047,3.99
20260731,1227,10,177,23837103,2.6
20260731,1227,11,61,17095821,1.86
20260731,1227,12,30,14730780,1.6
20260731,1227,13,8,5738896,0.62
20260731,1227,14,10,9176361,1.0
20260731,1227,15,30,590727221,64.55
20260731,1227,16,53613,915089591,100.0
20260731,1229,1,33533,8440794,0.46
20260731,1229,2,45092,101349743,5.64
20260731,1229,3,11299,81300035,4.52
20260731,1229,4,4424,54048525,3.0
20260731,1229,5,2227,39066028,2.17
20260731,1229,6,2366,57543038,3.2
20260731,1229,7,1037,35942030,2.0
20260731,1229,8,699,31519162,1.75
20260731,1229,9,1293,90081218,5.01
20260731,1229,10,480,64310069,3.58
20260731,1229,11,200,54975463,3.06
20260731,1229,12,49,23625584,1.31
20260731,1229,13,19,13352685,0.74
20260731,1229,14,13,11350940,0.63
20260731,1229,15,81,1129055354,62.86
20260731,1229,16,102812,1795960668,100.0
20260731,1231,1,16613,3548345,1.18
20260731,1231,2,14292,29848997,10.0
20260731,1231,3,2256,16338532,5.47
20260731,1231,4,779,9449640,3.16
20260731,1231,5,363,6399998,2.14
20260731,1231,6,327,8049625,2.69
20260731,1231,7,150,5228414,1.75
20260731,1231,8,76,3399546,1.13
20260731,1231,9,144,9921630,3.32
20260731,1231,10,48,6785542,2.27
20260731,1231,11,22,5969753,2.0
20260731,1231,12,7,3173332,1.06
20260731,1231,13,0,0,0.0
20260731,1231,14,2,1961399,0.65
20260731,1231,15,17,188379722,63.11
20260731,1231,16,35096,298454475,100.0
20260731,1232,1,8110,1106211,0.69
20260731,1232,2,7586,13929206,8.7
20260731,1232,3,689,5358826,3.34
20260731,1232,4,213,2722190,1.7
20260731,1232,5,132,2395373,1.49
20260731,1232,6,96,2467055,1.54
20260731,1232,7,51,1826025,1.14
20260731,1232,8,36,1651252,1.03
20260731,1232,9,48,3427449,2.14
20260731,1232,10,33,4553207,2.84
20260731,1232,11,8,2365014,1.47
20260731,1232,12,3,1443134,0.9
20260731,1232,13,2,1383000,0.86
20260731,1232,14,0,0,0.0
20260731,1232,15,6,115346973,72.1
20260731,1232,16,17013,159974915,100.0
20260731,1233,1,8205,245541,0.27
20260731,1233,2,1591,2900040,3.2
20260731,1233,3,165,1292707,1.42
20260731,1233,4,61,761615,0.84
